seed,variant,condition,phase,phase1_steps,step,examples_seen,old_examples_seen,new_examples_seen,valid_old_loss,valid_old_micro_accuracy,valid_old_macro_accuracy,valid_new_loss,valid_new_micro_accuracy,valid_new_macro_accuracy,valid_joint_loss,valid_joint_micro_accuracy,valid_joint_macro_accuracy,mean_lin1_update_norm,mean_lin2_update_norm,mean_lin1_weight_norm,mean_lin2_weight_norm,mean_hidden_active_fraction
0,oja,sequential,2,100,0,0,0,0,0.4874772688505733,89.4567548248749,88.51018628328896,6.457218868747611,0.0,0.0,3.1165514822006224,50.06,44.25509314164448,,,,,
0,oja,sequential,2,100,100,6400,0,6400,4.554171984156512,0.0,0.0,0.7171903974786874,84.42325158946413,83.34031740306906,2.864365292549133,37.18,41.67015870153453,12.12101469039917,0.7968854880332947,10.0,3.7519674372673033,1.0
0,oja,sequential,2,100,200,12800,0,12800,5.519822110441261,0.0,0.0,0.4758829490690205,87.48864668483198,87.16763476285315,3.2984713073730467,38.53,43.58381738142658,14.727497320175171,0.43542643934488295,10.0,4.820720839500427,1.0
0,oja,sequential,2,100,300,19200,0,19200,6.15660312194497,0.0,0.0,0.4056552493712991,87.98819255222524,87.92940320900827,3.6238856800079344,38.75,43.964701604504135,15.913690071105957,0.3618218210339546,10.0,5.46256854057312,1.0
0,oja,sequential,2,100,400,25576,0,25576,6.602346878038124,0.0,0.0,0.3784050401452452,88.30608537693007,88.24985699768764,3.8613228947639464,38.89,44.12492849884382,16.091412506103516,0.3373417329788208,10.0,5.864028859138489,1.0
0,oja,sequential,2,100,500,31976,0,31976,6.936838645607851,0.0,0.0,0.3687572882026028,88.48773841961852,88.82351503530833,4.044255614614487,38.97,44.41175751765416,15.719916563034058,0.32584953770041464,10.0,6.148657078742981,1.0
0,oja,sequential,2,100,600,38376,0,38376,7.109744200116826,0.0,0.0,0.3508856644909778,88.8283378746594,88.89196108828828,4.13314290137291,39.12,44.44598054414414,15.384734745025634,0.3308205270767212,10.0,6.368435606956482,0.99999218583107
0,oja,sequential,2,100,700,44776,0,44776,7.291257169094999,0.0,0.0,0.34231591619869234,89.12352406902815,89.12842835437532,4.2309434390544896,39.25,44.56421417718766,15.155908365249633,0.33531439140439034,10.0,6.5514604234695435,0.9999874979257584
0,oja,sequential,2,100,800,51152,0,51152,7.416684154785898,0.0,0.0,0.34100181029451426,89.1008174386921,89.31098674512616,4.300553651475906,39.24,44.65549337256308,14.945474996566773,0.32590398877859117,10.0,6.698111157417298,0.9999699974060059
0,oja,interleaved,2,100,0,0,0,0,0.4874772688505733,89.4567548248749,88.51018628328896,6.457218868747611,0.0,0.0,3.1165514822006224,50.06,44.25509314164448,,,,,
0,oja,interleaved,2,100,100,6400,3200,3200,0.7902103190425467,85.59685489635454,84.2759725443395,1.5164107582333086,51.952770208901,49.09627046406867,1.110028993988037,70.78,66.68612150420408,14.477450857162475,0.6779495415091514,10.0,3.7710406970977783,1.0
0,oja,interleaved,2,100,200,12800,6400,6400,0.7053428261172695,83.506075768406,81.9378899810149,1.1245230714588357,66.14441416893733,64.37023865306467,0.8899498068809509,75.86,73.1540643170398,15.517695980072022,0.546658242046833,10.0,4.865634207725525,0.999998437166214
0,oja,interleaved,2,100,300,19200,9600,9600,0.6497104277433541,84.3638313080772,83.0874368634068,0.9558897327012522,68.93732970027249,66.54547835298119,0.7845517922401428,77.57,74.816457608194,15.679537506103516,0.49006358087062835,10.0,5.70602774143219,0.9999890607595444
0,oja,interleaved,2,100,400,25600,12800,12800,0.6260759882879223,82.6483202287348,80.7938950169823,0.8485081608353908,73.41053587647593,69.5963161952129,0.7240351150512695,78.58,75.1951056060976,15.512089099884033,0.4695107668638229,10.0,6.3095023059844975,0.999881243109703
0,oja,interleaved,2,100,500,32000,16000,16000,0.6066886872117054,83.70264474624732,82.22698434712693,0.798540463347959,74.70481380563125,72.24296567593137,0.6911802058219909,79.74,77.23497501152914,15.252493181228637,0.46644119679927826,10.0,6.7782207870483395,0.9996968615055084
0,oja,interleaved,2,100,600,38400,19200,19200,0.5954727203697712,83.86347390993566,82.51758739867643,0.7582574455874492,75.72661217075385,73.31083253696775,0.6671631135940552,80.28,77.91420996782209,15.27248007774353,0.4710554277896881,10.0,7.1533728075027465,0.999371857047081
0,oja,interleaved,2,100,700,44800,22400,22400,0.5731406858173586,84.54253037884203,83.41732939083221,0.7591026013380392,74.0236148955495,73.0020618085874,0.6550383143424988,79.91,78.20969559970982,15.152297601699829,0.4671291679143906,10.0,7.463015236854553,0.9990390425920487
0,oja,interleaved,2,100,800,51200,25600,25600,0.5610011335438366,84.68548963545389,83.64483106145782,0.7168848620123695,76.74841053587647,75.09662845915562,0.6296523253440857,81.19,79.37072976030673,14.941116361618041,0.4394223564863205,10.0,7.739912285804748,0.9989859193563462
