seed,variant,condition,old_accuracy_before_phase2,target,target_reached,matched_step,retained_old_accuracy,new_accuracy,joint_accuracy,forgetting
0,oja,sequential,90.62233956683163,70.0,True,50.0,6.8886337543053955,73.96242579106888,40.42552977268714,83.73370581252624
0,oja,sequential,90.62233956683163,80.0,True,100.0,0.0,80.72775673134943,40.363878365674715,90.62233956683163
0,oja,sequential,90.62233956683163,90.0,True,1650.0,0.0,90.2430406049031,45.12152030245155,90.62233956683163
0,oja,interleaved,90.62233956683163,70.0,True,450.0,81.556956565375,72.53408464618221,77.04552060577859,9.065383001456624
0,oja,interleaved,90.62233956683163,80.0,True,1400.0,84.26572215972112,80.48061160583526,82.37316688277818,6.356617407110505
0,oja,interleaved,90.62233956683163,90.0,False,,,,,
1,oja,sequential,90.662630800712,70.0,True,50.0,0.06888633754305397,74.81179469698887,37.440340517265966,90.59374446316895
1,oja,sequential,90.662630800712,80.0,True,100.0,0.0,82.31300083751596,41.15650041875798,90.662630800712
1,oja,sequential,90.662630800712,90.0,True,1650.0,0.0,90.24345215757398,45.12172607878699,90.662630800712
1,oja,interleaved,90.662630800712,70.0,True,400.0,81.04829430602436,71.54959715537095,76.29894573069767,9.614336494687635
1,oja,interleaved,90.662630800712,80.0,True,2200.0,82.48637931425927,80.26872562117323,81.37755246771624,8.176251486452728
1,oja,interleaved,90.662630800712,90.0,False,,,,,
2,oja,sequential,90.17832313802937,70.0,True,50.0,5.028702640642939,75.02884181379943,40.02877222722118,85.14962049738644
2,oja,sequential,90.17832313802937,80.0,True,100.0,0.0,84.58997807799463,42.294989038997315,90.17832313802937
2,oja,sequential,90.17832313802937,90.0,True,1000.0,0.0,90.3169334601434,45.1584667300717,90.17832313802937
2,oja,interleaved,90.17832313802937,70.0,True,450.0,81.59327590512433,73.08757567652432,77.34042579082434,8.58504723290504
2,oja,interleaved,90.17832313802937,80.0,True,1300.0,83.26802432680721,80.05659961580533,81.66231197130625,6.910298811222162
2,oja,interleaved,90.17832313802937,90.0,False,,,,,
3,oja,sequential,90.73576872127097,70.0,True,50.0,4.569460390355912,75.47309498386636,40.021277687111144,86.16630833091506
3,oja,sequential,90.73576872127097,80.0,True,100.0,0.022962112514351322,81.27962748369448,40.651294798104416,90.71280660875662
3,oja,sequential,90.73576872127097,90.0,True,1200.0,0.0,90.22105415910437,45.110527079552185,90.73576872127097
3,oja,interleaved,90.73576872127097,70.0,True,450.0,84.23516469371152,70.74319692599317,77.48918080985234,6.500604027559447
3,oja,interleaved,90.73576872127097,80.0,True,1350.0,83.68172759684678,80.06715734941608,81.87444247313141,7.054041124424188
3,oja,interleaved,90.73576872127097,90.0,False,,,,,
4,oja,sequential,91.2588150081784,70.0,True,50.0,8.96670493685419,74.49580358091025,41.731254258882224,82.29211007132422
4,oja,sequential,91.2588150081784,80.0,True,150.0,0.0,81.89466230853817,40.94733115426909,91.2588150081784
4,oja,sequential,91.2588150081784,90.0,True,1700.0,0.0,90.17036240432186,45.08518120216093,91.2588150081784
4,oja,interleaved,91.2588150081784,70.0,True,450.0,84.05159876393502,71.80361756728988,77.92760816561245,7.207216244243384
4,oja,interleaved,91.2588150081784,80.0,True,1450.0,84.32677440413285,80.6260221584153,82.47639828127407,6.932040604045554
4,oja,interleaved,91.2588150081784,90.0,False,,,,,
